trees,site,site.code,height,cr.fru,gr.fru,neigh,Pros.neigh,veg.cov.x,veg.cov.sd,bare.cov.x,bare.cov.sd,litt.cov.x,litt.cov.sd,veg.cov.x1,veg.cov.sd1,veg.cov.x2,veg.cov.sd2,veg.cov.x3,veg.cov.sd3,H.shannon,x,y,litt.site,bare.site,low.site,med.site,high.site,x.tran,y.tran,modules
T96,grazed,bonito,650,623,36,2,1,1.16,0.32,0.15,0.36,0.85,0.24,0.48,0.48,0.08,0.16,0.56,0.12,0.38,599394,6220608,0.81,0.19,0.38,0.10,0.85,599270,6220801,A
T97,grazed,bonito,400,197,0,10,1,0.84,0.20,0.00,0.00,1.00,0.00,0.52,0.20,0.16,0.16,0.04,0.04,0.35,599620,6220499,0.46,0.54,0.23,0.16,0.27,599620,6220494,D
T98,grazed,bonito,450,354,0,8,3,0.96,0.12,0.00,0.00,1.00,0.00,0.36,0.12,0.24,0.20,0.40,0.24,0.46,599958,6220502,0.46,0.54,0.23,0.16,0.27,599620,6220494,B
T99,grazed,bonito,500,704,68,6,3,0.44,0.20,0.00,0.00,1.00,0.00,0.24,0.08,0.08,0.08,0.12,0.12,0.43,600272,6220497,0.46,0.54,0.23,0.16,0.27,599620,6220494,B
T100,grazed,bonito,450,5,0,6,3,1.04,0.12,0.12,0.36,0.87,0.12,0.60,0.40,0.36,0.28,0.08,0.20,0.43,600688,6220507,0.46,0.54,0.23,0.16,0.27,599620,6220494,A
T101,grazed,bonito,450,252,0,7,3,0.76,0.16,0.17,0.36,0.82,0.20,0.28,0.16,0.32,0.24,0.16,0.20,0.46,600951,6220584,0.59,0.41,0.30,0.17,0.44,600909,6220312,A
T102,grazed,bonito,450,0,0,10,3,1.20,0.64,0.17,0.36,0.82,0.20,0.24,0.32,0.48,0.36,0.48,0.44,0.45,601061,6220939,0.59,0.41,0.30,0.17,0.44,600909,6220312,C
T103,grazed,bonito,450,20,0,7,0,0.88,0.28,0.00,0.00,1.00,0.00,0.16,0.16,0.36,0.20,0.36,0.12,0.46,601254,6221519,0.59,0.41,0.30,0.17,0.44,600909,6220312,B
T104,grazed,bonito,450,13,0,9,3,0.92,0.24,0.07,0.36,0.92,0.08,0.36,0.24,0.56,0.44,0.02,0.04,0.34,601074,6221756,0.59,0.41,0.30,0.17,0.44,600909,6220312,NA
T105,grazed,bonito,400,31,0,7,2,1.24,0.20,0.00,0.00,1.00,0.00,0.40,0.40,0.48,0.08,0.36,0.24,0.47,601509,6221694,0.59,0.41,0.30,0.17,0.44,600909,6220312,A
T106,grazed,bonito,400,9,0,5,2,0.28,0.16,0.12,0.36,0.87,0.16,0.16,0.16,0.02,0.04,0.08,0.08,0.38,600928,6220306,0.29,0.71,0.39,0.05,0.38,600912,6219982,C
T107,grazed,bonito,550,13,0,8,1,1.20,0.40,0.30,0.44,0.95,0.08,0.12,0.08,0.20,0.28,0.88,0.20,0.33,600930,6219977,0.29,0.71,0.39,0.05,0.38,600912,6219982,C
T108,grazed,bonito,550,5,0,6,0,1.16,0.16,0.00,0.00,1.00,0.00,0.24,0.20,0.44,0.32,0.48,0.36,0.46,600933,6219682,0.73,0.27,0.32,0.08,0.38,600925,6219665,A
T109,grazed,bonito,550,29,0,6,0,0.96,0.52,0.00,0.00,1.00,0.00,0.36,0.20,0.24,0.24,0.28,0.20,0.30,600934,6219390,0.73,0.27,0.32,0.08,0.38,600925,6219665,B
T110,grazed,bonito,600,112,6,6,1,0.88,0.40,0.00,0.00,1.00,0.00,0.40,0.20,0.12,0.24,0.36,0.20,0.47,600937,6219138,0.73,0.27,0.32,0.08,0.38,600925,6219665,B
T111,grazed,bonito,600,490,5,8,0,0.88,0.16,0.00,0.00,1.00,0.00,0.40,0.36,0.32,0.28,0.28,0.20,0.43,600942,6218852,0.51,0.49,0.34,0.07,0.17,600928,6219375,E
T112,grazed,bonito,450,27,0,7,3,1.04,0.04,0.00,0.00,1.00,0.00,0.24,0.20,0.44,0.32,0.48,0.36,0.47,600964,6218508,0.51,0.49,0.34,0.07,0.17,600928,6219375,A
T113,grazed,bonito,450,0,0,4,3,0.68,0.36,0.37,0.44,0.62,0.48,0.20,0.24,0.36,0.48,0.12,0.16,0.44,600939,6218085,0.51,0.49,0.34,0.07,0.17,600928,6219375,C
T114,grazed,bonito,450,6,0,4,1,1.24,0.60,0.25,0.44,0.75,0.36,0.04,0.08,0.68,0.52,0.44,0.40,0.35,600892,6217762,0.58,0.42,0.33,0.08,0.24,600926,6219322,A
T115,grazed,bonito,450,3,0,5,2,0.44,0.56,0.75,0.44,0.25,0.48,0.00,0.00,0.00,0.00,0.44,0.56,0.00,600849,6217550,0.58,0.42,0.33,0.08,0.24,600926,6219322,NA
T116,grazed,bonito,500,1,0,6,2,0.96,0.20,0.00,0.00,1.00,0.00,0.12,0.16,0.32,0.36,0.48,0.28,0.42,600727,6217250,0.58,0.42,0.33,0.08,0.24,600926,6219322,B
T117,grazed,bonito,400,4,0,6,1,1.12,0.16,0.25,0.48,0.75,0.48,0.08,0.16,0.12,0.16,0.92,0.16,0.25,600541,6217072,0.58,0.42,0.33,0.08,0.24,600926,6219322,A
T118,grazed,bonito,350,8,0,7,2,1.04,0.24,0.00,0.00,1.00,0.00,0.44,0.32,0.64,0.48,0.16,0.20,0.40,600289,6217031,0.58,0.42,0.33,0.08,0.24,600926,6219322,A
T119,grazed,bonito,350,6,0,6,4,1.16,0.40,0.00,0.00,1.00,0.00,0.20,0.28,0.24,0.28,0.76,0.20,0.39,600781,6217118,0.58,0.42,0.33,0.08,0.24,600926,6219322,NA
T120,grazed,bonito,400,20,0,8,2,0.80,0.20,0.00,0.00,1.00,0.00,0.04,0.04,0.96,0.08,0.16,0.24,0.30,601145,6217184,0.58,0.42,0.33,0.08,0.24,600926,6219322,B
T121,ungrazed,protected1,340,5,5,9,1,0.80,0.60,0.60,0.36,0.40,0.32,0.12,0.12,0.08,0.20,0.56,0.52,0.34,599022,6234640,0.70,0.30,0.20,0.11,0.50,598755,6234933,D
T122,ungrazed,protected1,400,0,0,9,1,1.16,0.32,0.15,0.44,0.92,0.08,0.40,0.20,0.24,0.36,0.48,0.40,0.45,598307,6235892,0.80,0.20,0.50,0.60,0.10,598697,6236343,B
T123,ungrazed,protected1,500,70,150,8,2,1.24,0.52,0.05,0.48,0.70,0.48,0.64,0.24,0.16,0.16,0.48,0.20,0.42,599366,6236954,0.80,0.20,0.50,0.60,0.10,598697,6236343,NA
T124,ungrazed,protected1,340,50,0,12,1,1.08,0.92,0.02,0.48,0.97,0.04,0.36,0.36,0.28,0.36,0.40,0.40,0.47,598657,6235088,0.70,0.30,0.20,0.11,0.50,598755,6234933,A
T125,ungrazed,protected1,500,10,40,9,0,1.16,0.40,0.00,0.00,1.00,0.00,0.60,0.36,0.28,0.20,0.24,0.24,0.44,598529,6236198,0.80,0.20,0.50,0.60,0.10,598697,6236343,D
T126,ungrazed,protected1,500,5,10,4,1,1.20,0.36,0.02,0.48,0.97,0.04,0.80,0.32,0.12,0.20,0.28,0.20,0.37,599753,6237011,0.80,0.20,0.10,0.50,0.15,599236,6238820,NA
T127,ungrazed,protected1,400,5,20,13,3,1.24,0.40,0.05,0.48,0.70,0.48,0.24,0.16,0.32,0.28,0.52,0.28,0.47,599568,6238117,0.80,0.20,0.10,0.50,0.15,599236,6238820,D
T128,ungrazed,protected1,400,100,60,9,2,1.36,0.16,0.00,0.00,1.00,0.00,0.32,0.12,0.36,0.16,0.64,0.28,0.46,599420,6238859,0.80,0.20,0.10,0.50,0.15,599236,6238820,D
T129,ungrazed,protected1,350,1,70,9,1,1.24,0.24,0.17,0.48,0.82,0.08,0.56,0.24,0.24,0.20,0.44,0.20,0.45,599756,6237307,0.80,0.20,0.10,0.50,0.15,599236,6238820,D
T130,ungrazed,protected1,400,0,1,6,2,1.44,0.40,0.00,0.00,1.00,0.00,0.44,0.04,0.28,0.04,0.72,0.36,0.44,599687,6237570,0.80,0.20,0.10,0.50,0.15,599236,6238820,A
T131,ungrazed,protected1,400,0,0,10,2,1.28,0.24,0.00,0.00,1.00,0.00,0.64,0.32,0.36,0.16,0.28,0.36,0.45,599542,6238304,0.80,0.20,0.10,0.50,0.15,599236,6238820,NA
T132,ungrazed,protected1,500,0,15,6,1,1.08,0.36,0.12,0.44,0.87,0.20,0.48,0.16,0.16,0.16,0.44,0.40,0.44,599313,6239350,0.80,0.20,0.10,0.50,0.15,599236,6238820,D
T133,ungrazed,protected1,350,0,0,9,3,1.16,0.32,0.07,0.44,0.92,0.08,0.56,0.04,0.12,0.08,0.44,0.36,0.41,599873,6236701,0.80,0.20,0.10,0.50,0.15,599236,6238820,D
T134,ungrazed,protected1,450,0,0,8,0,1.20,0.52,0.25,0.44,0.75,0.28,0.60,0.28,0.32,0.20,0.28,0.32,0.45,598518,6235895,0.80,0.20,0.10,0.50,0.15,599236,6238820,D
T135,ungrazed,protected1,500,0,0,7,1,1.08,0.08,0.00,0.00,1.00,0.00,0.24,0.28,0.40,0.28,0.48,0.28,0.46,598757,6234832,0.80,0.20,0.10,0.50,0.15,599236,6238820,NA
T136,ungrazed,protected1,350,0,0,7,0,1.48,0.44,0.05,0.48,0.95,0.08,0.64,0.20,0.48,0.48,0.36,0.12,0.47,599934,6236394,0.80,0.20,0.10,0.50,0.15,599236,6238820,D
T137,ungrazed,protected1,400,0,0,7,2,1.52,0.32,0.07,0.44,0.92,0.08,0.20,0.16,0.56,0.48,0.76,0.60,0.43,600157,6235364,0.80,0.20,0.10,0.50,0.15,599236,6238820,A
T138,ungrazed,protected1,400,0,0,10,3,1.36,0.40,0.10,0.44,0.90,0.20,0.36,0.28,0.52,0.28,0.48,0.28,0.47,600361,6234515,0.80,0.20,0.11,0.90,0.10,600074,6236329,A
T139,ungrazed,protected1,400,0,0,15,2,0.92,0.24,0.07,0.44,0.92,0.08,0.28,0.24,0.24,0.20,0.40,0.28,0.46,601892,6233041,0.70,0.30,0.90,0.70,0.11,601812,6234571,A
T140,ungrazed,protected1,500,0,0,8,0,1.12,0.36,0.00,0.00,1.00,0.00,0.48,0.36,0.48,0.24,0.16,0.12,0.43,601910,6233896,0.70,0.30,0.90,0.70,0.11,601812,6234571,D
T141,ungrazed,protected1,400,0,0,10,3,0.52,0.48,0.00,0.00,1.00,0.00,0.08,0.12,0.16,0.24,0.28,0.16,0.44,601969,6234912,1.00,0.00,0.12,0.10,0.80,601810,6233644,A
T142,ungrazed,protected1,400,0,0,7,2,0.84,0.16,0.00,0.00,1.00,0.00,0.12,0.04,0.20,0.16,0.48,0.16,0.40,601908,6233405,0.70,0.30,0.90,0.70,0.11,601812,6234571,D
T143,ungrazed,protected1,450,0,0,7,0,1.56,0.24,0.00,0.00,1.00,0.00,0.24,0.20,0.64,0.16,0.68,0.20,0.44,601946,6234223,1.00,0.00,0.12,0.10,0.80,601810,6233644,D
T144,ungrazed,protected1,450,0,0,7,1,1.36,0.28,0.00,0.00,1.00,0.00,0.36,0.40,0.60,0.36,0.40,0.40,0.46,601960,6235210,1.00,0.00,0.12,0.10,0.80,601810,6233644,D
T145,ungrazed,protected1,400,0,0,6,0,1.64,0.28,0.00,0.00,1.00,0.00,0.48,0.12,0.40,0.20,0.72,0.32,0.46,601870,6231917,0.90,0.10,0.10,0.19,0.12,599437,6231207,A
T146,ungrazed,protected1,500,0,0,6,0,1.36,0.48,0.10,0.44,0.90,0.04,0.40,0.28,0.16,0.04,0.80,0.52,0.41,602653,6231330,0.80,0.20,0.11,0.90,0.10,600074,6236329,D
T147,ungrazed,protected1,400,0,0,6,0,0.92,0.08,0.05,0.48,0.70,0.48,0.32,0.20,0.24,0.12,0.36,0.08,0.47,601805,6230707,0.80,0.20,0.11,0.90,0.10,600074,6236329,NA
T148,ungrazed,protected1,250,0,0,7,0,0.80,0.24,0.00,0.00,1.00,0.00,0.28,0.16,0.08,0.08,0.44,0.20,0.42,600156,6231787,0.80,0.20,0.11,0.90,0.10,600074,6236329,A
T149,ungrazed,protected1,450,0,0,7,0,1.04,0.64,0.00,0.00,1.00,0.00,0.28,0.36,0.24,0.12,0.48,0.36,0.46,599281,6231170,0.80,0.20,0.11,0.90,0.10,600074,6236329,D
T150,ungrazed,protected1,500,0,0,6,0,1.44,0.52,0.02,0.48,0.97,0.04,0.56,0.16,0.36,0.28,0.52,0.44,0.47,598465,6230530,0.80,0.20,0.11,0.90,0.10,600074,6236329,NA
T151,ungrazed,protected1,400,0,0,5,2,1.20,0.44,0.00,0.00,1.00,0.00,0.20,0.12,0.44,0.16,0.56,0.48,0.44,597680,6229943,0.90,0.10,0.10,0.19,0.12,599437,6231207,A
T152,ungrazed,protected1,400,0,0,8,0,0.88,0.36,0.00,0.00,1.00,0.00,0.00,0.00,0.48,0.32,0.40,0.40,0.30,596961,6229425,0.80,0.20,0.20,0.17,0.50,596855,6230131,A
T153,ungrazed,protected1,500,0,0,7,4,1.16,0.24,0.00,0.00,1.00,0.00,0.28,0.32,0.32,0.36,0.52,0.32,0.46,596679,6230700,0.80,0.20,0.20,0.17,0.50,596855,6230131,D
T154,ungrazed,protected1,550,0,0,10,0,1.32,0.52,0.00,0.00,1.00,0.00,0.40,0.20,0.48,0.20,0.44,0.48,0.48,597442,6229774,0.90,0.10,0.10,0.19,0.12,599437,6231207,D
T155,ungrazed,protected1,350,0,0,8,0,1.00,0.20,0.00,0.00,1.00,0.00,0.36,0.32,0.48,0.48,0.12,0.08,0.44,596874,6229789,0.80,0.20,0.20,0.17,0.50,596855,6230131,NA
T156,ungrazed,protected1,350,0,0,8,0,1.12,0.04,0.00,0.00,1.00,0.00,0.32,0.28,0.52,0.12,0.28,0.20,0.46,596612,6231087,0.80,0.20,0.20,0.17,0.50,596855,6230131,D
T157,ungrazed,protected1,400,0,0,9,1,1.24,0.20,0.02,0.48,0.97,0.04,0.44,0.16,0.20,0.16,0.56,0.32,0.44,600900,6231872,0.70,0.30,0.10,0.10,0.11,601015,6231805,A
T158,ungrazed,protected1,400,0,0,8,1,1.24,0.24,0.00,0.00,1.00,0.00,0.52,0.20,0.40,0.44,0.28,0.16,0.47,601251,6230297,0.70,0.30,0.10,0.10,0.11,601015,6231805,B
T159,ungrazed,protected1,550,0,0,11,2,0.56,0.48,0.07,0.48,0.92,0.08,0.24,0.24,0.12,0.20,0.24,0.40,0.46,600996,6231468,0.70,0.30,0.10,0.10,0.11,601015,6231805,B
T160,ungrazed,protected1,450,0,0,9,1,1.44,0.24,0.00,0.00,1.00,0.00,0.52,0.28,0.68,0.40,0.24,0.08,0.44,601284,6230177,0.70,0.30,0.90,0.60,0.14,601060,6230569,D
T161,ungrazed,protected2,450,280,0,7,7,1.04,0.24,0.20,0.41,0.80,0.24,0.22,0.26,0.30,0.24,0.50,0.24,0.45,601865,6232255,0.70,0.30,0.50,0.35,0.13,601351,6230127,A
T162,ungrazed,protected2,400,20,0,6,0,1.16,0.12,0.00,0.00,1.00,0.00,0.00,0.00,0.80,0.35,0.35,0.31,0.27,601847,6231963,0.70,0.30,0.50,0.35,0.13,601351,6230127,A
T163,ungrazed,protected2,400,0,0,10,2,1.36,0.24,0.00,0.00,1.00,0.00,0.10,0.11,0.70,0.22,0.55,0.17,0.39,601820,6231675,0.70,0.30,0.50,0.35,0.13,601351,6230127,C
T164,ungrazed,protected2,400,80,0,11,1,1.00,0.24,0.15,0.44,0.85,0.30,0.00,0.00,0.20,0.21,0.75,0.24,0.22,601827,6231436,0.70,0.30,0.50,0.35,0.13,601351,6230127,C
T165,ungrazed,protected2,400,23,0,7,0,1.36,0.28,0.00,0.00,1.00,0.00,0.12,0.19,0.37,0.26,0.85,0.39,0.38,601814,6231135,0.70,0.30,0.50,0.35,0.13,601351,6230127,A
T166,ungrazed,protected2,400,43,0,8,2,1.16,0.40,0.00,0.00,1.00,0.00,0.07,0.09,0.57,0.42,0.50,0.48,0.38,601786,6230790,0.70,0.30,0.50,0.35,0.13,601351,6230127,A
T167,ungrazed,protected2,450,61,0,7,2,1.08,0.36,0.00,0.00,1.00,0.00,0.00,0.00,0.47,0.41,0.60,0.36,0.29,601779,6230544,0.70,0.30,0.50,0.35,0.13,601351,6230127,A
T168,ungrazed,protected2,450,137,0,9,2,1.16,0.20,0.00,0.00,1.00,0.00,0.40,0.36,0.57,0.31,0.17,0.12,0.47,601774,6230263,0.70,0.30,0.50,0.35,0.13,601351,6230127,A
T169,ungrazed,protected2,450,20,0,11,2,1.08,0.16,0.00,0.00,1.00,0.00,0.25,0.21,0.65,0.17,0.17,0.17,0.41,601758,6230001,0.70,0.30,0.50,0.35,0.13,601351,6230127,A
T170,ungrazed,protected2,500,0,0,8,1,1.04,0.44,0.00,0.00,1.00,0.00,0.25,0.21,0.30,0.18,0.47,0.41,0.46,601737,6229540,0.70,0.30,0.50,0.35,0.13,601351,6230127,A
T171,ungrazed,protected2,500,11,0,9,2,1.16,0.04,0.00,0.00,1.00,0.00,0.00,0.00,0.47,0.45,0.67,0.44,0.29,601730,6229236,0.70,0.30,0.50,0.35,0.13,601351,6230127,C
T172,ungrazed,protected2,340,3,0,6,2,1.16,0.16,0.00,0.00,1.00,0.00,0.52,0.27,0.60,0.23,0.05,0.10,0.36,601703,6228637,0.70,0.30,0.50,0.35,0.13,601351,6230127,A
T173,ungrazed,protected2,340,12,0,8,2,0.96,0.12,0.00,0.00,1.00,0.00,0.17,0.24,0.50,0.18,0.27,0.09,0.44,601660,6228371,0.70,0.30,0.50,0.35,0.13,601351,6230127,C
T174,ungrazed,protected2,340,0,0,7,1,1.20,0.28,0.00,0.00,1.00,0.00,0.12,0.15,1.05,0.37,0.02,0.05,0.19,601686,6228109,0.70,0.30,0.50,0.35,0.13,601351,6230127,A
T175,ungrazed,protected2,340,10,0,11,4,0.96,0.20,0.17,0.40,0.82,0.21,0.05,0.10,0.37,0.27,0.47,0.55,0.37,600785,6232372,0.80,0.20,0.11,0.70,0.13,600128,6236426,A
T176,ungrazed,protected2,340,16,0,7,0,1.00,0.24,0.00,0.00,1.00,0.00,0.02,0.05,0.57,0.43,0.40,0.34,0.34,600809,6232458,0.80,0.20,0.11,0.70,0.13,600128,6236426,A
T177,ungrazed,protected2,340,25,0,8,8,0.76,0.20,0.00,0.00,1.00,0.00,0.00,0.00,0.32,0.15,0.42,0.29,0.30,600898,6232314,0.85,0.15,0.51,0.40,0.46,601832,6233405,D
T178,ungrazed,protected2,400,118,0,8,7,0.75,0.21,0.00,0.00,1.00,0.00,0.42,0.29,0.30,0.35,0.45,0.52,0.47,601038,6232356,0.85,0.15,0.51,0.40,0.46,601832,6233405,A
T179,ungrazed,protected2,400,4,0,10,2,1.22,0.21,0.00,0.00,1.00,0.00,0.45,0.37,0.62,0.09,0.15,0.19,0.42,601199,6232367,0.85,0.15,0.51,0.40,0.46,601832,6233405,D
T180,ungrazed,protected2,400,0,0,10,3,1.15,0.17,0.00,0.00,1.00,0.00,0.65,0.40,0.30,0.14,0.20,0.24,0.42,601492,6232307,0.85,0.15,0.51,0.40,0.46,601832,6233405,A
T181,ungrazed,protected2,500,3,0,8,2,1.02,0.51,0.00,0.00,1.00,0.00,0.25,0.30,0.35,0.13,0.25,0.38,0.47,601749,6232362,0.85,0.15,0.51,0.40,0.46,601832,6233405,D
T182,ungrazed,protected2,500,1,0,9,6,1.38,0.48,0.00,0.00,1.00,0.00,0.40,0.35,0.52,0.21,0.40,0.24,0.47,601824,6232644,0.85,0.15,0.51,0.40,0.46,601832,6233405,C
T183,ungrazed,protected2,500,15,0,7,3,1.32,0.29,0.00,0.00,1.00,0.00,0.20,0.40,0.70,0.24,0.42,0.31,0.43,601717,6232666,0.85,0.15,0.51,0.40,0.46,601832,6233405,D
T184,ungrazed,protected2,500,4,0,9,5,1.00,0.29,0.00,0.00,1.00,0.00,0.37,0.15,0.47,0.22,0.15,0.17,0.44,601619,6232690,0.85,0.15,0.51,0.40,0.46,601832,6233405,C
T185,ungrazed,protected2,400,3,0,5,5,1.27,0.33,0.00,0.00,1.00,0.00,0.35,0.43,0.22,0.26,0.70,0.47,0.43,601524,6232681,0.85,0.15,0.51,0.40,0.46,601832,6233405,C
T186,ungrazed,protected2,400,17,0,8,0,0.90,0.18,0.10,0.43,0.90,0.14,0.10,0.11,0.70,0.42,0.10,0.20,0.30,600774,6232647,0.80,0.20,0.11,0.70,0.13,600128,6236426,A
T187,ungrazed,protected2,400,23,0,6,1,0.92,0.09,0.15,0.41,0.85,0.19,0.27,0.43,0.65,0.47,0.00,0.00,0.26,600709,6232847,0.80,0.20,0.11,0.70,0.13,600128,6236426,A
T188,ungrazed,protected2,400,0,0,8,1,1.55,0.19,0.00,0.00,1.00,0.00,0.77,0.39,0.45,0.37,0.32,0.33,0.44,600629,6233138,0.80,0.20,0.11,0.70,0.13,600128,6236426,NA
T189,ungrazed,protected2,400,0,0,8,0,1.32,0.29,0.00,0.00,1.00,0.00,0.20,0.24,0.87,0.25,0.27,0.25,0.38,600579,6233357,0.80,0.20,0.11,0.70,0.13,600128,6236426,NA
T190,ungrazed,protected2,400,0,0,7,2,0.92,0.22,0.05,0.44,0.95,0.10,0.10,0.20,0.60,0.27,0.22,0.17,0.37,600521,6233835,0.80,0.20,0.11,0.70,0.13,600128,6236426,C
